,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,param_svc__C,param_svc__gamma,param_svc__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
12,0.17632627487182617,0.018620210966014013,0.007312297821044922,0.0019194237724097115,0.85,5.0,scale,linear,"{'pca__n_components': 0.85, 'svc__C': 5, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.8976377952755905,0.9516129032258065,0.9302325581395349,0.944,0.9180327868852459,0.9283032087052355,0.019179690560616098,79
13,0.2081937313079834,0.01164762029472497,0.010983848571777343,0.0010296773676342526,0.85,5.0,scale,rbf,"{'pca__n_components': 0.85, 'svc__C': 5, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.9545454545454546,0.984375,0.9457364341085271,0.9612403100775194,0.9612403100775194,0.9614275017618041,0.012808043838409618,1
14,0.14229626655578614,0.006197984003746988,0.0070078372955322266,0.0024390567290452025,0.85,5.0,auto,linear,"{'pca__n_components': 0.85, 'svc__C': 5, 'svc__gamma': 'auto', 'svc__kernel': 'linear'}",0.8976377952755905,0.9516129032258065,0.9302325581395349,0.944,0.9180327868852459,0.9283032087052355,0.019179690560616098,79
15,0.18267178535461426,0.0074391209706907825,0.01101999282836914,0.00044734445403750537,0.85,5.0,auto,rbf,"{'pca__n_components': 0.85, 'svc__C': 5, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.9253731343283582,0.9538461538461539,0.916030534351145,0.9291338582677166,0.9291338582677166,0.9307035078122181,0.012523727053109583,69
16,0.1353811264038086,0.013497493291763222,0.006105279922485352,0.0012813394765513167,0.85,10.0,scale,linear,"{'pca__n_components': 0.85, 'svc__C': 10, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.896,0.943089430894309,0.9291338582677166,0.9523809523809523,0.926829268292683,0.9294867019671322,0.01917147149971959,72
17,0.2104316234588623,0.021925071437429267,0.010217857360839844,0.0008676556289270806,0.85,10.0,scale,rbf,"{'pca__n_components': 0.85, 'svc__C': 10, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.9545454545454546,0.984375,0.9457364341085271,0.9612403100775194,0.9612403100775194,0.9614275017618041,0.012808043838409618,1
18,0.14767251014709473,0.015336612990578941,0.006123876571655274,0.0027337815791848926,0.85,10.0,auto,linear,"{'pca__n_components': 0.85, 'svc__C': 10, 'svc__gamma': 'auto', 'svc__kernel': 'linear'}",0.896,0.943089430894309,0.9291338582677166,0.9523809523809523,0.926829268292683,0.9294867019671322,0.01917147149971959,72
19,0.1841592788696289,0.018128880051258574,0.009916162490844727,0.0004916595679136824,0.85,10.0,auto,rbf,"{'pca__n_components': 0.85, 'svc__C': 10, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.9253731343283582,0.9538461538461539,0.916030534351145,0.9375,0.9365079365079365,0.9338515518067189,0.012724966724550117,52
20,0.16572628021240235,0.019674420441100807,0.008612298965454101,0.0016514646309118662,0.9,0.1,scale,linear,"{'pca__n_components': 0.9, 'svc__C': 0.1, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.9253731343283582,0.9538461538461539,0.916030534351145,0.921875,0.9365079365079365,0.9307265518067188,0.013348575839126053,59
21,0.20640807151794432,0.013631140946474116,0.015578794479370116,0.0033853276358338648,0.9,0.1,scale,rbf,"{'pca__n_components': 0.9, 'svc__C': 0.1, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.9185185185185185,0.9538461538461539,0.9090909090909091,0.9302325581395349,0.9448818897637795,0.9313140058717793,0.01643499450552309,56
22,0.1490302562713623,0.007012511250516526,0.007716512680053711,0.0014691195646545085,0.9,0.1,auto,linear,"{'pca__n_components': 0.9, 'svc__C': 0.1, 'svc__gamma': 'auto', 'svc__kernel': 'linear'}",0.9253731343283582,0.9538461538461539,0.916030534351145,0.921875,0.9365079365079365,0.9307265518067188,0.013348575839126053,59
23,0.1927739143371582,0.01062362116302769,0.013660478591918945,0.00098791312315024,0.9,0.1,auto,rbf,"{'pca__n_components': 0.9, 'svc__C': 0.1, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.0,0.0,0.8378378378378378,0.8378378378378378,0.0,0.33513513513513515,0.41045503797988386,87
24,0.13118476867675782,0.005985355253735181,0.007917404174804688,0.002337069077689501,0.9,0.5,scale,linear,"{'pca__n_components': 0.9, 'svc__C': 0.5, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.9402985074626866,0.944,0.9312977099236641,0.953125,0.926829268292683,0.9391100971358067,0.009312283527101206,39
25,0.19874105453491211,0.01702797162035474,0.014106988906860352,0.007178190897975803,0.9,0.5,scale,rbf,"{'pca__n_components': 0.9, 'svc__C': 0.5, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.9402985074626866,0.9612403100775194,0.9312977099236641,0.9612403100775194,0.9523809523809523,0.9492915579844684,0.011829989320553408,19
26,0.15655889511108398,0.02220019497272347,0.007323074340820313,0.0012103920285936795,0.9,0.5,auto,linear,"{'pca__n_components': 0.9, 'svc__C': 0.5, 'svc__gamma': 'auto', 'svc__kernel': 'linear'}",0.9402985074626866,0.944,0.9312977099236641,0.953125,0.926829268292683,0.9391100971358067,0.009312283527101206,39
27,0.20324549674987794,0.015106804956064293,0.017059803009033203,0.007667176050520265,0.9,0.5,auto,rbf,"{'pca__n_components': 0.9, 'svc__C': 0.5, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.0,0.0,0.8378378378378378,0.8378378378378378,0.0,0.33513513513513515,0.41045503797988386,87
28,0.1366427421569824,0.00891993982503385,0.006624650955200195,0.0006834791843969674,0.9,1.0,scale,linear,"{'pca__n_components': 0.9, 'svc__C': 1, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.9473684210526315,0.9354838709677419,0.9302325581395349,0.9365079365079365,0.926829268292683,0.9352844109921055,0.006993865217807513,47
29,0.20000605583190917,0.013177193826308602,0.013619947433471679,0.00220019800907941,0.9,1.0,scale,rbf,"{'pca__n_components': 0.9, 'svc__C': 1, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.9473684210526315,0.96875,0.9312977099236641,0.9612403100775194,0.9606299212598425,0.9538572724627314,0.01321522155868865,12
30,0.13057174682617187,0.007750612093440997,0.00701298713684082,0.0013450630182441502,0.9,1.0,auto,linear,"{'pca__n_components': 0.9, 'svc__C': 1, 'svc__gamma': 'auto', 'svc__kernel': 'linear'}",0.9473684210526315,0.9354838709677419,0.9302325581395349,0.9365079365079365,0.926829268292683,0.9352844109921055,0.006993865217807513,47
31,0.19912981986999512,0.007852816969678973,0.015369701385498046,0.002410347479235639,0.9,1.0,auto,rbf,"{'pca__n_components': 0.9, 'svc__C': 1, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.0,0.0,0.8378378378378378,0.8378378378378378,0.0,0.33513513513513515,0.41045503797988386,87
32,0.1275768280029297,0.010023352033145813,0.005810976028442383,0.0006831115772774404,0.9,5.0,scale,linear,"{'pca__n_components': 0.9, 'svc__C': 5, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.9133858267716536,0.9516129032258065,0.9384615384615385,0.9354838709677419,0.9166666666666666,0.9311221612186815,0.014256930669753096,57
33,0.18976540565490724,0.015409807835116777,0.014123916625976562,0.00512313305532482,0.9,5.0,scale,rbf,"{'pca__n_components': 0.9, 'svc__C': 5, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.9473684210526315,0.9767441860465116,0.9312977099236641,0.9612403100775194,0.9612403100775194,0.9555781874355691,0.015290916356398841,4
34,0.13873519897460937,0.012887372333589723,0.00522465705871582,0.000813162506379002,0.9,5.0,auto,linear,"{'pca__n_components': 0.9, 'svc__C': 5, 'svc__gamma': 'auto', 'svc__kernel': 'linear'}",0.9133858267716536,0.9516129032258065,0.9384615384615385,0.9354838709677419,0.9166666666666666,0.9311221612186815,0.014256930669753096,57
35,0.1890768051147461,0.008456005212504896,0.012620830535888672,0.0014974843434799603,0.9,5.0,auto,rbf,"{'pca__n_components': 0.9, 'svc__C': 5, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.9253731343283582,0.9538461538461539,0.916030534351145,0.921875,0.9365079365079365,0.9307265518067188,0.013348575839126053,59
36,0.13270168304443358,0.00998716444275384,0.006315851211547851,0.0005075731560210719,0.9,10.0,scale,linear,"{'pca__n_components': 0.9, 'svc__C': 10, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.9133858267716536,0.9516129032258065,0.9302325581395349,0.9365079365079365,0.9032258064516129,0.9269930062193088,0.01707163167930995,83
37,0.19702401161193847,0.014826231472702817,0.011873579025268555,0.0012205719840119198,0.9,10.0,scale,rbf,"{'pca__n_components': 0.9, 'svc__C': 10, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.9473684210526315,0.9767441860465116,0.9312977099236641,0.9612403100775194,0.9612403100775194,0.9555781874355691,0.015290916356398841,4
38,0.1312049388885498,0.006492130586687961,0.005861902236938476,0.001161545138836152,0.9,10.0,auto,linear,"{'pca__n_components': 0.9, 'svc__C': 10, 'svc__gamma': 'auto', 'svc__kernel': 'linear'}",0.9133858267716536,0.9516129032258065,0.9302325581395349,0.9365079365079365,0.9032258064516129,0.9269930062193088,0.01707163167930995,83
39,0.17723569869995118,0.013290287621833586,0.011009788513183594,0.0009010363139783486,0.9,10.0,auto,rbf,"{'pca__n_components': 0.9, 'svc__C': 10, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.9253731343283582,0.9538461538461539,0.916030534351145,0.9291338582677166,0.9365079365079365,0.9321783234602622,0.012685195176397508,54
40,0.15559005737304688,0.0035769330506893677,0.008813571929931641,0.0029281901226289116,0.95,0.1,scale,linear,"{'pca__n_components': 0.95, 'svc__C': 0.1, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.9253731343283582,0.9538461538461539,0.916030534351145,0.921875,0.9365079365079365,0.9307265518067188,0.013348575839126053,59
41,0.20668439865112304,0.004794965170815016,0.016342592239379884,0.001446677223223348,0.95,0.1,scale,rbf,"{'pca__n_components': 0.95, 'svc__C': 0.1, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.9185185185185185,0.9538461538461539,0.9090909090909091,0.921875,0.9448818897637795,0.9296424942438722,0.016878985567987403,71
42,0.1585775852203369,0.013202436359394753,0.007713985443115234,0.000931296936368906,0.95,0.1,auto,linear,"{'pca__n_components': 0.95, 'svc__C': 0.1, 'svc__gamma': 'auto', 'svc__kernel': 'linear'}",0.9253731343283582,0.9538461538461539,0.916030534351145,0.921875,0.9365079365079365,0.9307265518067188,0.013348575839126053,59
43,0.20980587005615234,0.006070257162102398,0.019442033767700196,0.0031337264004277976,0.95,0.1,auto,rbf,"{'pca__n_components': 0.95, 'svc__C': 0.1, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.0,0.0,0.8378378378378378,0.8378378378378378,0.0,0.33513513513513515,0.41045503797988386,87
44,0.14719901084899903,0.012058980407660716,0.0075146198272705075,0.0016534550692131262,0.95,0.5,scale,linear,"{'pca__n_components': 0.95, 'svc__C': 0.5, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.9402985074626866,0.9523809523809523,0.9312977099236641,0.953125,0.944,0.9442204339534606,0.008103237036638714,28
45,0.19748759269714355,0.006662087781988728,0.013306617736816406,0.0009111901081667912,0.95,0.5,scale,rbf,"{'pca__n_components': 0.95, 'svc__C': 0.5, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.9402985074626866,0.9612403100775194,0.9312977099236641,0.9612403100775194,0.9606299212598425,0.9509413517602464,0.012689745963859042,16
